DATE_ mentioned_keyword
2016-12-27-00 162
2016-12-28-00 199
2016-12-29-00 183
2016-12-30-00 171
2016-12-31-00 167
2017-01-01-00 145
2017-01-02-00 154
2017-01-03-00 138
2017-01-04-00 151
2017-01-05-00 134
2017-01-07-00 155
2017-01-08-00 182
2017-01-09-00 153
2017-01-10-00 118
2017-01-11-00 178
2017-01-12-00 155
2017-01-13-00 175
2017-01-14-00 155
2017-01-15-00 157
2017-01-16-00 175
2017-01-17-00 182
2017-01-18-00 155
2017-01-19-00 151
2017-01-20-00 35
2017-01-21-00 32
2017-01-22-00 158
2017-01-23-00 105
2017-01-24-00 153
2017-01-25-00 145
2017-01-26-00 35
2017-01-27-00 83
2017-01-28-00 75
2017-01-29-00 35
2017-01-30-00 32
2017-01-31-00 35
2017-02-01-00 104
2017-02-02-00 152
2017-02-03-00 145
2017-02-04-00 155
2017-02-05-00 153
2017-02-06-00 158
2017-02-07-00 32
2017-02-08-00 155
2017-02-09-00 155
2017-02-10-00 175
2017-02-11-00 100
2017-02-12-00 155
2017-02-13-00 158
2017-02-14-00 158
2017-02-15-00 184
2017-02-16-00 151
2017-02-17-00 175
2017-02-18-00 155
2017-02-19-00 158
2017-02-20-00 155
2017-02-21-00 157
2017-02-22-00 173
2017-02-23-00 173
2017-02-24-00 178
2017-02-25-00 175
2017-02-26-00 112
2017-02-27-00 178
2017-02-28-00 157
2017-03-01-00 171
2017-03-02-00 153
2017-03-03-00 155
2017-03-04-00 145
2017-03-05-00 144
2017-03-06-00 155
2017-03-07-00 154
2017-03-08-00 153
2017-03-09-00 153
2017-03-10-00 158
2017-03-11-00 32
2017-03-12-00 151
2017-03-13-00 157
2017-03-14-00 157
2017-03-15-00 170
2017-03-16-00 153
2017-03-17-00 155
2017-03-18-00 154
2017-03-19-00 153
2017-03-20-00 181
2017-03-21-00 153
2017-03-22-00 175
2017-03-23-00 153
2017-03-24-00 153
2017-03-25-00 145
2017-03-26-00 148
2017-03-27-00 148
2017-03-28-00 150
2017-03-29-00 155
2017-03-30-00 158
2017-03-31-00 155
2017-04-01-00 143
2017-04-02-00 140
2017-04-03-00 82
2017-04-04-00 51
2017-04-05-00 155
2017-04-06-00 154
2017-04-07-00 157
2017-04-08-00 152
2017-04-09-00 153
2017-04-10-00 175
2017-04-11-00 155
2017-04-12-00 175
2017-04-13-00 153
2017-04-14-00 175
2017-04-15-00 108
2017-04-16-00 100
2017-04-17-00 153
2017-04-18-00 172
2017-04-19-00 152
2017-04-20-00 157
2017-04-21-00 185
2017-04-22-00 154
2017-04-23-00 151
2017-04-24-00 180
2017-04-25-00 171
2017-04-26-00 166
2017-04-27-00 183
2017-04-28-00 171
2017-04-29-00 174
2017-04-30-00 153
2017-05-01-00 162
2017-05-02-00 164
2017-05-03-00 190
2017-05-04-00 131
2017-05-05-00 169
2017-05-06-00 158
